migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Script lib/galaxy/model/migrate/versions/0071_add_history_and_workflow_to_sample.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Loading script lib/galaxy/model/migrate/versions/0072_add_pid_and_socket_columns_to_transfer_job_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Script lib/galaxy/model/migrate/versions/0072_add_pid_and_socket_columns_to_transfer_job_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Loading script lib/galaxy/model/migrate/versions/0073_add_ldda_to_implicit_conversion_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Script lib/galaxy/model/migrate/versions/0073_add_ldda_to_implicit_conversion_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Loading script lib/galaxy/model/migrate/versions/0074_add_purged_column_to_library_dataset_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Script lib/galaxy/model/migrate/versions/0074_add_purged_column_to_library_dataset_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Loading script lib/galaxy/model/migrate/versions/0075_add_subindex_column_to_run_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Script lib/galaxy/model/migrate/versions/0075_add_subindex_column_to_run_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Loading script lib/galaxy/model/migrate/versions/0076_fix_form_values_data_corruption.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Script lib/galaxy/model/migrate/versions/0076_fix_form_values_data_corruption.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Loading script lib/galaxy/model/migrate/versions/0077_create_tool_tag_association_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Script lib/galaxy/model/migrate/versions/0077_create_tool_tag_association_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Loading script lib/galaxy/model/migrate/versions/0078_add_columns_for_disk_usage_accounting.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Script lib/galaxy/model/migrate/versions/0078_add_columns_for_disk_usage_accounting.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Loading script lib/galaxy/model/migrate/versions/0079_input_library_to_job_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Script lib/galaxy/model/migrate/versions/0079_input_library_to_job_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Loading script lib/galaxy/model/migrate/versions/0080_quota_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Script lib/galaxy/model/migrate/versions/0080_quota_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,524 Loading script lib/galaxy/model/migrate/versions/0081_add_tool_version_to_hda_ldda.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Script lib/galaxy/model/migrate/versions/0081_add_tool_version_to_hda_ldda.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Loading script lib/galaxy/model/migrate/versions/0082_add_tool_shed_repository_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Script lib/galaxy/model/migrate/versions/0082_add_tool_shed_repository_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Loading script lib/galaxy/model/migrate/versions/0083_add_prepare_files_to_task.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Script lib/galaxy/model/migrate/versions/0083_add_prepare_files_to_task.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Loading script lib/galaxy/model/migrate/versions/0084_add_ldda_id_to_implicit_conversion_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Script lib/galaxy/model/migrate/versions/0084_add_ldda_id_to_implicit_conversion_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Loading script lib/galaxy/model/migrate/versions/0085_add_task_info.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Script lib/galaxy/model/migrate/versions/0085_add_task_info.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Loading script lib/galaxy/model/migrate/versions/0086_add_tool_shed_repository_table_columns.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Script lib/galaxy/model/migrate/versions/0086_add_tool_shed_repository_table_columns.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Loading script lib/galaxy/model/migrate/versions/0087_tool_id_guid_map_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Script lib/galaxy/model/migrate/versions/0087_tool_id_guid_map_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Loading script lib/galaxy/model/migrate/versions/0088_add_installed_changeset_revison_column.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Script lib/galaxy/model/migrate/versions/0088_add_installed_changeset_revison_column.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Loading script lib/galaxy/model/migrate/versions/0089_add_object_store_id_columns.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Script lib/galaxy/model/migrate/versions/0089_add_object_store_id_columns.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,525 Loading script lib/galaxy/model/migrate/versions/0090_add_tool_shed_repository_table_columns.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Script lib/galaxy/model/migrate/versions/0090_add_tool_shed_repository_table_columns.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Loading script lib/galaxy/model/migrate/versions/0091_add_tool_version_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Script lib/galaxy/model/migrate/versions/0091_add_tool_version_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Loading script lib/galaxy/model/migrate/versions/0092_add_migrate_tools_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Script lib/galaxy/model/migrate/versions/0092_add_migrate_tools_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Loading script lib/galaxy/model/migrate/versions/0093_add_job_params_col.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Script lib/galaxy/model/migrate/versions/0093_add_job_params_col.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Loading script lib/galaxy/model/migrate/versions/0094_add_job_handler_col.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Script lib/galaxy/model/migrate/versions/0094_add_job_handler_col.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Loading script lib/galaxy/model/migrate/versions/0095_hda_subsets.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Script lib/galaxy/model/migrate/versions/0095_hda_subsets.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,526 Loading script lib/galaxy/model/migrate/versions/0096_openid_provider.py...
